Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
2015,UNITED STATES OF AMERICA,1475604,411833,639534,392872,10419,10947,4.58,22152.0
2016,UNITED STATES OF AMERICA,1442598,,646452,425624,10381,10471,4.45,23214.0
2017,UNITED STATES OF AMERICA,1427590,323670,653452,420624,,10363,4.37,24314.0
2018,UNITED STATES OF AMERICA,1467590,313670,663452,460624,10581,10263,,25314.0
2019,UNITED STATES OF AMERICA,1427590,293670,653452,450624,10481,10363,4.31,26314.0
2020,UNITED STATES OF AMERICA,1223749,243670,553452,400624,9481,,3.61,26358.0
2015,CHINA (MAINLAND),2756000,2015000,380000,180000,181000,0.0,,11000.0
2016,CHINA (MAINLAND),2786000,2025000,390000,,181000,0.0,1.99,11500.0
2017,CHINA (MAINLAND),2826000,2035000,410000,200000,181000,0.0,2.01,12000.0
2018,CHINA (MAINLAND),2876000,2055000,,210000,181000,0.0,2.03,12500.0
2019,CHINA (MAINLAND),2926000,2085000,450000,210000,181000,0.0,2.06,13000.0
2020,CHINA (MAINLAND),2915650,2075650,440000,220000,180000,0.0,2.05,13570.0
2015,INDIA,580000,380000,150000,35000,15000,0.0,0.44,1800.0
2016,INDIA,600000,390000,160000,35000,,0.0,0.45,1900.0
2017,INDIA,610000,395000,165000,35000,15000,0.0,,2000.0
2018,INDIA,630000,,175000,35000,15000,0.0,0.46,2100.0
2019,INDIA,645000,415000,180000,35000,15000,0.0,0.46,2200.0
2020,INDIA,650069,420069,180000,35000,15000,0.0,0.47,2356.0
